Name,Type,open,hour,Score,Review,Link,Addr,dis(min)
탐라도야지,"육류,고기",영업중,매일 00:00 ~ 24:00,3.5,81,,서울 강남구 삼성로104길 13,10
잇쇼우,"돈까스,우동",브레이크타임,월~금 11:00 ~ 20:30,3.5,67,,서울 강남구 선릉로 524 선릉대림아크로텔 1층 109호,14
아우정,"육류,고기",영업중,매일 11:00 ~ 23:00,4.3,10,,"서울 강남구 테헤란로87길 45 보현빌딩 1, 2층",10
수다 삼성1호점,일본식주점,영업중,"월,화,수,목,일 16:00 ~ 02:00",4.0,108,,서울 강남구 테헤란로87길 53,11
홍차가게 청담,카페,휴무일,월요일,4.6,105,,서울 강남구 삼성로120길 52-1 하랑빌딩 1층,30
제주은희네해장국 선릉직영점,해장국,영업중,월~금 10:00 ~ 22:30,2.7,32,,서울 강남구 삼성로91길 28 씨에스빌딩 1층,3
수다 삼성2호점,일본식주점,영업중,"월,화,수,목,일 16:00 ~ 02:00",3.9,120,,서울 강남구 삼성로100길 23-13,10
명인등심 삼성직영점,"육류,고기",영업중,매일 11:30 ~ 22:00,3.6,32,,서울 강남구 봉은사로86길 30 3층,11
진대감 삼성점,"육류,고기",영업중,매일 11:00 ~ 22:00,3.5,36,,서울 강남구 테헤란로81길 47,8
살루쪼,이탈리안,브레이크타임,월~토 11:30 ~ 22:00,4.4,43,,서울 강남구 봉은사로57길 6 1층 101호,22
구을가,"육류,고기",브레이크타임,매일 11:30 ~ 22:00,4.5,22,,"서울 강남구 선릉로 632 1,2층",29
삼성리,칵테일바,null data,null data,4.4,73,,서울 강남구 봉은사로86길 28 1층,11
목포명가 삼성점,"해물,생선",영업중,월~금 11:00 ~ 21:50,1.4,30,,"서울 강남구 삼성로100길 24 킴스101 1층,지하1층",8
고메램 삼성점,"육류,고기",영업중,월~금 11:30 ~ 22:30,3.3,212,,서울 강남구 삼성로96길 15 송영빌딩 2층,6
봉산집,"육류,고기",영업중,월~금 11:00 ~ 23:00,2.8,28,,서울 강남구 삼성로 564,12
하동관 코엑스몰직영점,곰탕,영업중,매일 10:30 ~ 19:00,3.6,128,,서울 강남구 영동대로 513 코엑스몰 지하1층 J101호,15
더차이홍 삼성점,중화요리,null data,null data,4.7,2,,서울 강남구 삼성로92길 23 경진빌딩 2층,6
인기명 삼성점,조개,영업중,월~금 11:30 ~ 23:30,3.6,24,,서울 강남구 봉은사로84길 30,11
피에프창 코엑스몰점,아시아음식,영업중,매일 11:00 ~ 22:30,3.3,121,,서울 강남구 영동대로 513 코엑스몰 지하 1층 P107호,15
꽃지 삼성점,"게,대게",영업중,월~금 11:30 ~ 21:30,2.9,39,,서울 강남구 봉은사로 610 1층,21
해우리 선릉L7점,한정식,영업중,월~금 11:00 ~ 22:00,3.6,22,,서울 강남구 테헤란로 415,8
투뿔등심고담 삼성점,"육류,고기",영업중,월~금 11:30 ~ 22:00,2.7,21,,서울 강남구 테헤란로87길 33 융전빌딩 지하1층,8
곰바위,"곱창,막창",영업중,매일 11:30 ~ 22:30,3.3,15,,서울 강남구 삼성로 542,8
보름쇠 삼성점,"육류,고기",영업중,매일 11:30 ~ 22:00,3.5,38,,서울 강남구 테헤란로81길 36,6
멘야미코 청담역점,일식,영업중,월~토 11:30 ~ 20:00,3.4,20,,서울 강남구 삼성로 642,27
오더에스프레소,카페,영업중,월~금 08:30 ~ 22:00,3.5,49,,서울 강남구 봉은사로82길 27 1층,11
인터컨티넨탈서울코엑스 브래서리,뷔페,브레이크타임,매일 06:00 ~ 22:00,4.6,115,,서울 강남구 봉은사로 524 1층,15
아이수마,양식,영업중,월~토 11:30 ~ 22:00,3.1,59,,서울 강남구 학동로56길 26 1층 102호,33
박서방순대국밥 삼성본점,순대,영업중,매일 10:00 ~ 22:00,3.4,40,,서울 강남구 삼성로 520,4
예천유산균한우정육타운,"육류,고기",영업중,매일 11:00 ~ 24:00,4.5,36,,서울 강남구 삼성로103길 5 1층,8
사람사는 고깃집 김일도 삼성코엑스점,"육류,고기",영업중,월~금 11:30 ~ 22:00,4.5,36,,서울 강남구 삼성로104길 17 대모빌딩 1층,10
허머스키친 삼성점,아시아음식,영업중,매일 11:00 ~ 22:00,3.6,51,,서울 강남구 테헤란로 521 파르나스몰 지하1층 F-26호,11
금복당,"호프,요리주점",null data,null data,4.5,16,,서울 강남구 봉은사로68길 7,15
벽돌집60-5,삼겹살,영업중,월~금 17:00 ~ 23:30,4.5,23,,서울 강남구 테헤란로81길 60-5 1층,9
애니홀,이탈리안,영업중,월~금 11:00 ~ 23:30,4.6,11,,서울 강남구 테헤란로77길 11-10 1층,4
해초록사랑,회,null data,null data,3.1,2,,서울 강남구 삼성로 539,7
호신각,중화요리,영업중,매일 10:00 ~ 22:00,3.2,79,,서울 강남구 테헤란로81길 16,4
아웃백스테이크하우스 코엑스점,아웃백스테이크하우스,영업중,매일 11:00 ~ 22:00,4.0,145,,서울 강남구 테헤란로87길 46 오크우드호텔 지하2층 14호,15
비언유주얼,양식,휴무일,월요일,3.3,42,,서울 강남구 선릉로108길 5 1층,22
멍텅구리꼼장어막창 삼성동본점,장어,영업중,월~금 11:00 ~ 04:30,3.7,19,,서울 강남구 봉은사로 445,18
교대이층집 삼성점,"육류,고기",영업중,월~금 11:30 ~ 23:00,3.4,83,,"서울 강남구 삼성로96길 9 2,3층",5
레스토랑라이프,"육류,고기",null data,null data,3.1,14,,서울 강남구 영동대로96길 26 하나은행기업센터 9층,20
